isbn,titulo,Autor,precio,link,categoria
9789878935461,Pack Desempeño Trilogia. Tres Volumenes,"ALLES, MARTHA",59490,https://www.antartica.cl/pack-desempeno-trilogia-tres-volumenes-9789878935461.html,Economia y administracion
9788449342417,El Cisne Negro,"TALEB, NASSIM N.",44900,https://www.antartica.cl/el-cisne-negro-9788449342417.html,Economia y administracion
9788410121065,Slow Productivity,"NEWPORT, CAL",19192,https://www.antartica.cl/slow-productivity-9788410121065.html,Economia y administracion
9788410121003,Estuche Principios Basicos Management En 20 Minutos,HARVARD BUSINESS REVIEW,30392,https://www.antartica.cl/estuche-principios-basicos-management-en-20-minutos-9788410121003.html,Economia y administracion
9788417963989,El Metodo Para,"FORTE, TIAGO",10194,https://www.antartica.cl/el-metodo-para-9788417963989.html,Economia y administracion
9788410121027,Como Evaluar Los Resultados. Serie Management En 20 Minutos,HARVARD BUSINESS REVIEW,8394,https://www.antartica.cl/como-evaluar-los-resultados-serie-management-en-20-minutos-9788410121027.html,Economia y administracion
9788410121010,Como Dar Un Feedback Efectivo. Serie Management En 20 Minutos,HARVARD BUSINESS REVIEW,11192,https://www.antartica.cl/como-dar-un-feedback-efectivo-serie-management-en-20-minutos-9788410121010.html,Economia y administracion
9788417963965,Be 2.0,"COLLINS, JIM",20700,https://www.antartica.cl/be-2-0-9788417963965.html,Economia y administracion
9789878978697,Las 11 Llaves,"KURT, N. C.",15900,https://www.antartica.cl/las-11-llaves-9789878978697.html,Economia y administracion
9789563870114,La Justificacion De La Empresa Y El Nuevo Capitalismo,"TIRONI, EUGENIO",19999,https://www.antartica.cl/la-justificacion-de-la-empresa-y-el-nuevo-capitalismo-9789563870114.html,Economia y administracion
9786316595089,El Metodo Ventas,"HILL, NAPOLEON",14320,https://www.antartica.cl/el-metodo-ventas-9786316595089.html,Economia y administracion
9789564181882,El Efecto Polilla En Las Organizaciones,"MARCONE, CAROLINA",15990,https://www.antartica.cl/el-efecto-polilla-en-las-organizaciones-9789564181882.html,Economia y administracion
